year,both_sexes,male,female
1980,73.7,70,77.4
1981,74.1,70.4,77.8
1982,74.5,70.8,78.1
1983,74.6,71,78.1
1984,74.7,71.1,78.2
1985,74.7,71.1,78.2
1986,74.7,71.2,78.2
1987,74.9,71.4,78.3
1988,74.9,71.4,78.3
1989,75.1,71.7,78.5
1990,75.4,71.8,78.8
1991,75.5,72,78.9
1992,75.8,72.3,79.1
1993,75.5,72.2,78.8
1994,75.7,72.4,79
1995,75.8,72.5,78.9
1996,76.1,73.1,79.1
1997,76.5,73.6,79.4
1998,76.7,73.8,79.5
1999,76.7,73.9,79.4
2000,76.8,74.1,79.3
2001,77,74.3,79.5
2002,77,74.4,79.6
2003,77.2,74.5,79.7
2004,77.6,75,80.1
2005,77.6,75,80.1
2006,77.8,75.2,80.3
2007,78.1,75.5,80.6
2008,78.2,75.6,80.6
2009,78.5,76,80.9
2010,78.7,76.3,81
2011,78.7,76.3,81.1
2012,78.8,76.4,81.2
2013,78.8,76.4,81.2
2014,78.9,76.5,81.3
2015,78.7,76.3,81.1
2016,78.7,76.2,81.1
2017,78.6,76.1,81.1
2018,78.7,76.2,81.2
2019,78.8,76.3,81.4
2020,77.3,74.5,79.9
2021,76.4,73.5,79.3
2022,77.5,74.5,80.2
